"Časovni žig","What is your age?","How often do you use a self-checkout system when you shop?","How clear are the on-screen instructions and labels in general?","Which of these visual issues have bothered you?","Were you unsure what to do next at any step when testing the prototype, what were the problems that you encountered?","Which features in our prototype do you believe are clear improvements over the self-checkout machines you have used in the stores?","Are there any features our prototype is still missing in your opinion?"
"2026/01/10 3:51:27 pop. GMT +1","40 - 55","Rarely","Clear","/","No","",""
"2026/01/10 3:57:12 pop. GMT +1","40 - 55","Often","Very clear","Text is difficult to read","No","",""
"2026/01/10 9:27:30 pop. GMT +1","20 - 29","Almost always","Very clear","Payment method icons lack labels","No","Cleaner design and clear indicator what stage I am in",""
"2026/01/10 10:02:00 pop. GMT +1","40 - 55","Often","Very clear","Nič","No","",""
"2026/01/10 10:20:04 pop. GMT +1","20 - 29","Often","Clear","Text cash/card under icon for cash/card","No","The last product added is not only listed below ""My items"" but it is also displayed with big picture, name and price at the right, so i can make sure i took the right item. I like that by default there are 0 bags (not 1) - i like that feature as a customer, not sure if i would like it as the owner of the store.","No discounts hehe"
"2026/01/10 10:34:45 pop. GMT +1","20 - 29","Almost always","Very clear","Icons or symbols I do not understand","No","",""
"2026/01/11 12:55:47 dop. GMT +1","30 - 39","Often","Very clear","Icons or symbols I do not understand","No","",""
"2026/01/11 1:13:29 pop. GMT +1","20 - 29","Almost always","Very clear","Icons or symbols I do not understand","No","","Če klikneš ""other"" pri plačilu, ni jasno kaj so ostale možnosti plačila"
"2026/01/11 1:22:58 pop. GMT +1","20 - 29","Almost always","Acceptable","Icons or symbols I do not understand;Important information is not visible enough (e.g., total price, remaining steps)","No","List of items is very clear and it is obvious what I bought and how much something costs. In the stores those lists are usually less clear, smaller text, discounts aren't clear.","Changing the language doesn't work. I called the assistant and nobody came."
"2026/01/11 2:07:18 pop. GMT +1","55+","Often","Clear","The language selection and the volume button could be placed in the top left corner. Since they appear on all screens, there is no need to return to the first screen. When adding bags, the price does not change.","No","Displayed shopping progress. Language selection. Volume level selection. Option to remove an item. Selection of the number of bags or no bag option.","When I finish shopping, the items are not cleared. The language selection does not work. It could also show what happens when there are more items than available space."
